价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
,,,,,,,,,,,,
6399,//item.jd.com/100020923576.html,惠普16-b0001TX,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
4698,//item.jd.com/100021876378.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
3499,//item.jd.com/100021400870.html,荣耀NobelBR-WAI9B,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i3,8GB,256GB,none
,,,,,,,,,,,,
7699,//item.jd.com/100009464799.html,AppleMacBook Air,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,8GB,256GB,none
,,,,,,,,,,,,
7469,//item.jd.com/100011190721.html,惠普16-b0004TX,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
6999,//item.jd.com/100012141133.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
4399,//item.jd.com/100014662878.html,惠普星 15 青春版,none,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
7699,//item.jd.com/100016616050.html,AppleMacBook Air,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,8GB,256GB,none
,,,,,,,,,,,,
4399,//item.jd.com/100023681778.html,荣耀NMH-WFQ9HN,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
5699,//item.jd.com/100012808551.html,华为MateBook 13,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
4799,//item.jd.com/100025374022.html,小米RedmiBook Pro 14,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100013483267.html,小米RedmiBook Pro 15,none,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
15899,//item.jd.com/100010793475.html,联想拯救者R9000K,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R9,32GB,none,RTX3080
,,,,,,,,,,,,
6199,//item.jd.com/100011431721.html,机械革命Z3 Air,1.5-2kg,20.0mm以上,15.0-15.9英寸,小于5小时,100%sRGB,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
11999,//item.jd.com/100016724490.html,AppleMacBook Pro 13.3,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,16GB,512GB,none
,,,,,,,,,,,,
